client_name,market
Alex Bank,Egypt
American Express,Saudi Arabia
Arab Bank,Iraq
AXA,Egypt
AXA,Morocco
Ferrero,Jordan
Ferrero,Lebanon
Ferrero,Iraq
Ferrero,Morocco
Lamb Weston,United Arab Emirates
Lamb Weston,Kuwait
Lamb Weston,Saudi Arabia
Netflix,Saudi Arabia
Netflix,United Arab Emirates
OLX,Lebanon
Perfetti Van Melle,United Arab Emirates
Perfetti Van Melle,Saudi Arabia
Perfetti Van Melle,Kuwait
Perfetti Van Melle,Qatar
Perfetti Van Melle,Oman
Perfetti Van Melle,Bahrain
Perfetti Van Melle,Iraq
Perfetti Van Melle,Lebanon
Perfetti Van Melle,Morocco
Qatar Airways,LIBERIA
Rolex,Saudi Arabia
Rolex,United Arab Emirates
Rolex,Qatar
Rolex,Bahrain
Rolex,Kuwait
Rolex,Oman
Total Energies,United Arab Emirates
Total Energies,Qatar
Total Energies,Morocco
TotalEnergies,Lebanon
TotalEnergies,Egypt
Xiaomi,United Arab Emirates
Xiaomi,Morocco
