Client,Market
Edita,Egypt
Alat,Saudi Arabia
American Express,Saudi Arabia
AXA,Egypt
AXA,Morocco
Dabur,Egypt
Derayah Financial,Saudi Arabia
Didi,Egypt
Ferrero,Jordan
Ferrero,Lebanon
Ferrero,Iraq
Ferrero,Morocco
IHG,Saudi Arabia
IHG,United Arab Emirates
IHG,Qatar
IHG,Bahrain
IHG,Kuwait
IHG,Oman
IM Motors,Jordan
International Development Bank,Jordan
Lamb Weston,United Arab Emirates
Lamb Weston,Kuwait
Lamb Weston,Saudi Arabia
Lexus,Iraq
Marico,Saudi Arabia
Marico,United Arab Emirates
Marico,Qatar
Marico,Bahrain
Marico,Kuwait
Marico,Oman
McCain,United Arab Emirates
McCain,Saudi Arabia
McCain,Kuwait
Perfetti Van Melle,United Arab Emirates
Perfetti Van Melle,Saudi Arabia
Perfetti Van Melle,Kuwait
Perfetti Van Melle,Qatar
Perfetti Van Melle,Oman
Perfetti Van Melle,Bahrain
Perfetti Van Melle,Iraq
Perfetti Van Melle,Lebanon
Perfetti Van Melle,Morocco
Public Investment Fund,France
Public Investment Fund,Germany
Public Investment Fund,Japan
Public Investment Fund,Singapore
Public Investment Fund,Saudi Arabia
Public Investment Fund,United Arab Emirates
Public Investment Fund,Qatar
Public Investment Fund,Hong Kong
Public Investment Fund,Switzerland
Public Investment Fund,India
Public Investment Fund,Canada
Qiddiya,Saudi Arabia
Qiddiya,United Arab Emirates
Qiddiya,Kuwait
Qiddiya,Bahrain
Qiddiya,Qatar
Riyadh Air,Saudi Arabia
Riyadh Air,United Arab Emirates
Riyadh Air,India
Riyadh Air,Egypt
Riyadh Air,Spain
Riyadh Air,France
Riyadh Air,Germany
Rolex,Saudi Arabia
Rolex,United Arab Emirates
Rolex,Qatar
Rolex,Bahrain
Rolex,Kuwait
Rolex,Oman
Sanofi,Jordan
Sanofi,Lebanon
Sanofi,Iraq
Talabat,Iraq
Total Energies,United Arab Emirates
Total Energies,Qatar
Total Energies,Morocco
TotalEnergies,Egypt
Toyota,Iraq
VinFast,Saudi Arabia
Vivo,Egypt
Xiaomi,United Arab Emirates
Xiaomi,Morocco
EA Sports,Saudi Arabia
EA Sports,United Arab Emirates
Ecolab,Saudi Arabia
Ecolab,United Arab Emirates
Ecolab,Qatar
Ecolab,Bahrain
Ecolab,Kuwait
Ecolab,Egypt
Ecolab,Oman
Netflix,Saudi Arabia
Netflix,United Arab Emirates
OLX,Lebanon
Public Investment Fund,United States
Public Investment Fund,United Kingdom
Riyadh Air,United Kingdom
TotalEnergies,Lebanon
