Saudi Arabia,Alat,Alat,Technology
Saudi Arabia,American Express,American Express,Finance
Egypt,AXA,AXA,Finance
Egypt,AXA,Axa Health Insurance,Healthcare
Morocco,AXA,Insurance,Finance
Egypt,Dabur,Amla,Personal Care
Egypt,Dabur,Vatika,Personal Care
Egypt,Dabur,Red Toothpaste,Personal Care
Egypt,Dabur,FEM,Personal Care
Saudi Arabia,Derayah Financial,Derayah Financial,Finance
Egypt,Didi,DiDi,Travel
United Arab Emirates,Du,Du,Telecoms
Egypt,Edita,Todo,Food
Egypt,Edita,Freska,Food
Egypt,Edita,Forni,Food
Jordan,Ferrero,Nutella,Food
Lebanon,Ferrero,Nutella,Food
Iraq,Ferrero,Nutella,Food
Morocco,Ferrero,Nutella,Food
Jordan,Ferrero,Tic Tac,Food
Lebanon,Ferrero,Tic Tac,Food
Iraq,Ferrero,Tic Tac,Food
Morocco,Ferrero,Tic Tac,Food
Jordan,Ferrero,Kinder,Food
Lebanon,Ferrero,Kinder,Food
Iraq,Ferrero,Kinder,Food
Morocco,Ferrero,Kinder,Food
Jordan,Ferrero,Rocher,Food
Lebanon,Ferrero,Rocher,Food
Iraq,Ferrero,Rocher,Food
Morocco,Ferrero,Rocher,Food
Saudi Arabia,IHG,IHG,Travel
United Arab Emirates,IHG,IHG,Travel
Qatar,IHG,IHG,Travel
Bahrain,IHG,IHG,Travel
Kuwait,IHG,IHG,Travel
Oman,IHG,IHG,Travel
Jordan,IM Motors,IM Motors,Automotive
Jordan,International Development Bank,International Development Bank,Finance
United Arab Emirates,Lamb Weston,Lamb Weston,Food
Kuwait,Lamb Weston,Lamb Weston,Food
Saudi Arabia,Lamb Weston,Lamb Weston,Food
Iraq,Lexus,Lexus,Automotive
Saudi Arabia,Marico,Herbsindia,Personal Care
United Arab Emirates,Marico,Herbsindia,Personal Care
Qatar,Marico,Herbsindia,Personal Care
Bahrain,Marico,Herbsindia,Personal Care
Kuwait,Marico,Herbsindia,Personal Care
Oman,Marico,Herbsindia,Personal Care
United Arab Emirates,McCain,McCain Foods,Food
Saudi Arabia,McCain,McCain Foods,Food
Kuwait,McCain,McCain Foods,Food
United Arab Emirates,Perfetti Van Melle,Mentos,Food
Saudi Arabia,Perfetti Van Melle,Mentos,Food
Kuwait,Perfetti Van Melle,Mentos,Food
Qatar,Perfetti Van Melle,Mentos,Food
Oman,Perfetti Van Melle,Mentos,Food
Bahrain,Perfetti Van Melle,Mentos,Food
Iraq,Perfetti Van Melle,Mentos,Food
Lebanon,Perfetti Van Melle,Mentos,Food
Morocco,Perfetti Van Melle,Mentos,Food
United Arab Emirates,Perfetti Van Melle,Chupa Chups,Food
Saudi Arabia,Perfetti Van Melle,Chupa Chups,Food
Kuwait,Perfetti Van Melle,Chupa Chups,Food
Qatar,Perfetti Van Melle,Chupa Chups,Food
Oman,Perfetti Van Melle,Chupa Chups,Food
Bahrain,Perfetti Van Melle,Chupa Chups,Food
Iraq,Perfetti Van Melle,Chupa Chups,Food
Lebanon,Perfetti Van Melle,Chupa Chups,Food
Morocco,Perfetti Van Melle,Chupa Chups,Food
United Arab Emirates,Perfetti Van Melle,Perfetti Van Melle,Food
Saudi Arabia,Perfetti Van Melle,Perfetti Van Melle,Food
Kuwait,Perfetti Van Melle,Perfetti Van Melle,Food
Qatar,Perfetti Van Melle,Perfetti Van Melle,Food
Oman,Perfetti Van Melle,Perfetti Van Melle,Food
Bahrain,Perfetti Van Melle,Perfetti Van Melle,Food
Iraq,Perfetti Van Melle,Perfetti Van Melle,Food
Lebanon,Perfetti Van Melle,Perfetti Van Melle,Food
Morocco,Perfetti Van Melle,Perfetti Van Melle,Food
France,Public Investment Fund,Public Investment Fund,Government
Germany,Public Investment Fund,Public Investment Fund,Government
Japan,Public Investment Fund,Public Investment Fund,Government
Singapore,Public Investment Fund,Public Investment Fund,Government
Saudi Arabia,Public Investment Fund,Public Investment Fund,Government
United Arab Emirates,Public Investment Fund,Public Investment Fund,Government
Qatar,Public Investment Fund,Public Investment Fund,Government
Hong Kong,Public Investment Fund,Public Investment Fund,Government
Switzerland,Public Investment Fund,Public Investment Fund,Government
India,Public Investment Fund,Public Investment Fund,Government
Canada,Public Investment Fund,Public Investment Fund,Government
Saudi Arabia,Qiddiya,Qiddiya,Travel
United Arab Emirates,Qiddiya,Qiddiya,Travel
Kuwait,Qiddiya,Qiddiya,Travel
Bahrain,Qiddiya,Qiddiya,Travel
Qatar,Qiddiya,Qiddiya,Travel
Saudi Arabia,Riyadh Air,Riyadh Air,Travel
United Arab Emirates,Riyadh Air,Riyadh Air,Travel
India,Riyadh Air,Riyadh Air,Travel
Egypt,Riyadh Air,Riyadh Air,Travel
Spain,Riyadh Air,Riyadh Air,Travel
France,Riyadh Air,Riyadh Air,Travel
Germany,Riyadh Air,Riyadh Air,Travel
Saudi Arabia,Rolex,Rolex,Fashion
United Arab Emirates,Rolex,Rolex,Fashion
Qatar,Rolex,Rolex,Fashion
Bahrain,Rolex,Rolex,Fashion
Kuwait,Rolex,Rolex,Fashion
Oman,Rolex,Rolex,Fashion
Jordan,Sanofi,Sanofi,Healthcare
Lebanon,Sanofi,Sanofi,Healthcare
Iraq,Sanofi,Sanofi,Healthcare
Iraq,Talabat,Talabat,Retail
United Arab Emirates,Total Energies,Total Energies,Utilities
Qatar,Total Energies,Total Energies,Utilities
Morocco,Total Energies,Energie,Automotive
Egypt,TotalEnergies,Quartz,Utilities
Egypt,TotalEnergies,Rubia,Utilities
Egypt,TotalEnergies,Network,Utilities
Iraq,Toyota,Toyota,Automotive
Saudi Arabia,VinFast,Vinfast,Automotive
Egypt,Vivo,Vivo,Consumer Electronics
United Arab Emirates,Xiaomi,Xiaomi,Consumer Electronics
Morocco,Xiaomi,Xiaomi,Consumer Electronics
