client,market
Cinfa,Spain
Clave 2 - A Contracorriente,Spain
Clave 2 - Flins & Piniculas,Spain
Cofidis,Spain
Continental,Spain
Conxemar,Spain
Costa Crociere,Spain
DISA,Spain
Dacsa,Spain
Dia,Spain
Diputacio de Barcelona,Spain
Dr Oetker,Spain
Duracell,Spain
EXPLORA,Spain
EasyJet,Spain
EssilorLuxottica,Spain
Ferrero,Spain
Rolex,Spain
Savencia,Spain
Siemens,Spain
Skechers,Spain
SkyShowtime,Spain
Sony,Spain
Sony PlayStation,Spain
Subway,Spain
Suntory,Spain
Think Pharma,Spain
Too Good To Go,Spain
TotalEnergies,Spain
Toyota,Spain
Trainline,Spain
VOG CONS.COOP,Spain
Warner Bros. Discovery,Spain
Wizink Bank S.A.,Spain
Xiaomi,Spain
Zespri,Spain
