brand,group_uid,final_status,detail,line_no
Brand Concepts,693aac0c-ab01-4cf1-b940-195013684f5b,Success,"[{'uid': 'f379d0c8-6608-4686-ae35-657c04a4d766', 'group_uid': '693aac0c-ab01-4cf1-b940-195013684f5b', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': '98859d74-26ad-46d3-ade7-c8bf260cd068'}, {'uid': '4a5a2131-aba7-416a-9898-c134ebb43bea', 'group_uid': '693aac0c-ab01-4cf1-b940-195013684f5b', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': '98859d74-26ad-46d3-ade7-c8bf260cd068'}, {'uid': '3357427c-c6e9-4010-8be5-e31ac2c2b7b7', 'group_uid': '693aac0c-ab01-4cf1-b940-195013684f5b', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': '98859d74-26ad-46d3-ade7-c8bf260cd068'}]",29
Cash Discount  Msix,50d20249-84c4-4920-8eed-c22ca38106ad,Success,"[{'uid': '12c26909-2d02-4915-a29f-7a0f664a2af6', 'group_uid': '50d20249-84c4-4920-8eed-c22ca38106ad', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': 'e032a2e7-4217-4e13-afa3-73553ae248bd'}, {'uid': 'caafd9b9-9fc4-4f80-8563-32875757fe55', 'group_uid': '50d20249-84c4-4920-8eed-c22ca38106ad', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': 'e032a2e7-4217-4e13-afa3-73553ae248bd'}, {'uid': '8c0b7998-68b8-426f-b73b-8e1f32c2c68a', 'group_uid': '50d20249-84c4-4920-8eed-c22ca38106ad', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': 'e032a2e7-4217-4e13-afa3-73553ae248bd'}]",35
Brakes,635a6e5b-c6e9-48a2-bb79-013b20a38712,Success,"[{'uid': '4d8dc79c-b408-4ba7-a70c-edd84bc86240', 'group_uid': '635a6e5b-c6e9-48a2-bb79-013b20a38712', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': '29383bd0-2517-4749-bb2b-f80dd00241bc'}, {'uid': '354de0cf-50ea-41f5-a445-efb0e31aa27e', 'group_uid': '635a6e5b-c6e9-48a2-bb79-013b20a38712', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': '29383bd0-2517-4749-bb2b-f80dd00241bc'}, {'uid': '1ac2764e-646b-49dd-a163-fe9b01f0e76d', 'group_uid': '635a6e5b-c6e9-48a2-bb79-013b20a38712', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': '29383bd0-2517-4749-bb2b-f80dd00241bc'}]",39
Brilloca,d372638e-8edf-4bd4-ba06-bca111732ee0,Success,"[{'uid': '54c4719d-589f-4738-b518-1880ea935a13', 'group_uid': 'd372638e-8edf-4bd4-ba06-bca111732ee0', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': '4f8f9224-4129-4850-bf25-11c97b497e89'}, {'uid': '1280d59e-fce7-4705-9e76-f55a02e9b107', 'group_uid': 'd372638e-8edf-4bd4-ba06-bca111732ee0', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': '4f8f9224-4129-4850-bf25-11c97b497e89'}, {'uid': 'bef34a31-d8d2-4b0b-afb3-a10178ef7c96', 'group_uid': 'd372638e-8edf-4bd4-ba06-bca111732ee0', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': '4f8f9224-4129-4850-bf25-11c97b497e89'}]",43
Brigade,eeb22a76-e7e6-462c-bded-ca4c611b5138,Success,"[{'uid': '1d467126-bf56-48d4-a41d-62f6e3387ebf', 'group_uid': 'eeb22a76-e7e6-462c-bded-ca4c611b5138', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': '4eaeec82-77a5-42fb-a6fd-188b918c6f30'}, {'uid': '3ef2a170-88af-4e60-a243-c6496ed8f22b', 'group_uid': 'eeb22a76-e7e6-462c-bded-ca4c611b5138', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': '4eaeec82-77a5-42fb-a6fd-188b918c6f30'}, {'uid': '0f2b843a-d284-4f1d-ab0f-c032bd3ccea3', 'group_uid': 'eeb22a76-e7e6-462c-bded-ca4c611b5138', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': '4eaeec82-77a5-42fb-a6fd-188b918c6f30'}]",47
Casio,96dcc18a-bf3f-449e-9e2c-4b6717a3e67f,Success,"[{'uid': '3eb02815-d61c-405d-9604-bc1eae202554', 'group_uid': '96dcc18a-bf3f-449e-9e2c-4b6717a3e67f', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': '55f0cd86-fd59-4873-8b1c-3eb747bbb54b'}, {'uid': 'c08d6d42-1c87-480e-8b58-2bfc5afe900b', 'group_uid': '96dcc18a-bf3f-449e-9e2c-4b6717a3e67f', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': '55f0cd86-fd59-4873-8b1c-3eb747bbb54b'}, {'uid': '96ccd954-4e45-49eb-ab36-192734033b93', 'group_uid': '96dcc18a-bf3f-449e-9e2c-4b6717a3e67f', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': '55f0cd86-fd59-4873-8b1c-3eb747bbb54b'}]",51
Care Health Insurance,22b1d4da-4487-4b3b-9483-f7336cdefa7b,Success,"[{'uid': '55e75e49-f394-40c3-96e1-f75d92291b9f', 'group_uid': '22b1d4da-4487-4b3b-9483-f7336cdefa7b', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': '390fc052-e2b4-40c3-9771-65ae64651049'}, {'uid': 'd366c615-4460-458f-ba0b-1c1ad8f1c05e', 'group_uid': '22b1d4da-4487-4b3b-9483-f7336cdefa7b', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': '390fc052-e2b4-40c3-9771-65ae64651049'}, {'uid': 'd10d2e68-120b-486e-9208-7a8d24dcadb4', 'group_uid': '22b1d4da-4487-4b3b-9483-f7336cdefa7b', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': '390fc052-e2b4-40c3-9771-65ae64651049'}]",55
Century Textiles & Industries,ac15d74a-2464-4e56-800d-1dde19c240a9,Success,"[{'uid': '6a0a57da-fb42-4ce5-bf1b-6e23db69f774', 'group_uid': 'ac15d74a-2464-4e56-800d-1dde19c240a9', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': '365d60de-036e-41ea-9a0b-4fe44ce87fcd'}, {'uid': 'eda9cf6b-bdd2-4af5-b812-62cedd2d9809', 'group_uid': 'ac15d74a-2464-4e56-800d-1dde19c240a9', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': '365d60de-036e-41ea-9a0b-4fe44ce87fcd'}, {'uid': '7430ad35-3b9a-4f86-992c-5dcaa8cdf056', 'group_uid': 'ac15d74a-2464-4e56-800d-1dde19c240a9', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': '365d60de-036e-41ea-9a0b-4fe44ce87fcd'}]",59
Cars24 Services,0942588b-b037-42f5-badc-7e30e604e64d,Success,"[{'uid': '34bb4cfe-a9dd-475a-812a-0c48de0d1656', 'group_uid': '0942588b-b037-42f5-badc-7e30e604e64d', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': '0cfae774-3aa4-4083-99e4-44f84e9ea29e'}, {'uid': '52ba8ff2-3aef-42b6-a9e9-1404e3ceafdc', 'group_uid': '0942588b-b037-42f5-badc-7e30e604e64d', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': '0cfae774-3aa4-4083-99e4-44f84e9ea29e'}, {'uid': '456c2ad4-0fbf-49ac-a240-f3ab7c2f1935', 'group_uid': '0942588b-b037-42f5-badc-7e30e604e64d', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': '0cfae774-3aa4-4083-99e4-44f84e9ea29e'}]",67
Cash Discount,0b51e238-fa55-4a77-b43d-7735e46048d1,Success,"[{'uid': '5ef85319-712e-470e-90ef-a19d0f9d2055', 'group_uid': '0b51e238-fa55-4a77-b43d-7735e46048d1', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': '9eb519c7-8759-4896-a0b1-1ca757cc4d7f'}, {'uid': '7f6bfef5-4dee-488a-aab4-9c30b4f9866e', 'group_uid': '0b51e238-fa55-4a77-b43d-7735e46048d1', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': '9eb519c7-8759-4896-a0b1-1ca757cc4d7f'}, {'uid': '7d3d4217-9eeb-417f-adca-74364289b955', 'group_uid': '0b51e238-fa55-4a77-b43d-7735e46048d1', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': '9eb519c7-8759-4896-a0b1-1ca757cc4d7f'}]",72
