market,clientname,brand,category
United Arab Emirates,Abdulla Al Masaood and Sons,Abdulla Al Masaood and Sons,Automotive
United Arab Emirates,Abu Dhabi Government Media Office,Abu Dhabi Government Media Office,Government
Jordan,Abu Shakra,Abu Shakra,Retail
United Arab Emirates,ADCB,ADCB,Finance
Iraq,Ahmad Tea,Ahmad Tea,Drinks (non-alcoholic)
Saudi Arabia,AIAS Trading,Roberto Coin,Jewellery
Saudi Arabia,Al Fardan Trading,Al Fardan Trading,Jewellery
United Arab Emirates,Al Futtaim,ACE,Home Appliances
Qatar,Al Futtaim,ACE,Home Appliances
Saudi Arabia,Al Futtaim,ACE,Home Appliances
United Arab Emirates,Al Futtaim,Watsons,Personal Care
Saudi Arabia,Al Futtaim,Watsons,Personal Care
United Arab Emirates,Al Futtaim,Ted Baker,Fashion
Saudi Arabia,Al Futtaim,Ted Baker,Fashion
Kuwait,Al Futtaim,Ted Baker,Fashion
Qatar,Al Futtaim,Ted Baker,Fashion
United Arab Emirates,Al Futtaim,Maje,Fashion
Saudi Arabia,Al Futtaim,Maje,Fashion
Kuwait,Al Futtaim,Maje,Fashion
Qatar,Al Futtaim,Maje,Fashion
Saudi Arabia,Al Gharbia Poultry Farms,Al Gharbia Farms,Food
Saudi Arabia,Al Hatab Bakery,Al Hatab Bakery,Food
Saudi Arabia,Al Jomaih Holding,Al Jomaih Holding,Finance
United Arab Emirates,Al Masaood Automobiles,Infiniti,Automotive
United Arab Emirates,Al Masaood Automobiles,Nissan,Automotive
United Arab Emirates,Al Masaood Automobiles,Renault,Automotive
United Arab Emirates,Al Masaood Automobiles,Power Division,Utilities
Kuwait,Al Masaood Automobiles,Power Division,Utilities
Qatar,Al Masaood Automobiles,Power Division,Utilities
Lebanon,Al Taghziyah,Al Taghziyah,Food
Kuwait,Al Zayani,Al Zayani,Automotive
Saudi Arabia,Alat,Alat,Technology
United Arab Emirates,Aldar,Aldar Development,Real Estate
United Arab Emirates,Aldar,Aldar Retail,Real Estate
Egypt,Alex Bank,Alex Bank,Finance
Saudi Arabia,Alinma Bank,Alinma Bank,Finance
Saudi Arabia,American Express,American Express,Finance
Lebanon,American University of Beirut,AUB Online,Education
Jordan,American University of Beirut,AUB Online,Education
Iraq,American University of Beirut,AUB Online,Education
Egypt,American University of Beirut,AUB Online,Education
United Arab Emirates,American University of Beirut,AUB Online,Education
Saudi Arabia,American University of Beirut,AUB Online,Education
Qatar,American University of Beirut,AUB Online,Education
Bahrain,American University of Beirut,AUB Online,Education
Oman,American University of Beirut,AUB Online,Education
Kuwait,American University of Beirut,AUB Online,Education
Cyprus,American University of Beirut,AUB Online,Education
Saudi Arabia,Americana Foods,KFC,Restaurants
United Arab Emirates,Americana Foods,KFC,Restaurants
Qatar,Americana Foods,KFC,Restaurants
Bahrain,Americana Foods,KFC,Restaurants
Kuwait,Americana Foods,KFC,Restaurants
Lebanon,Americana Foods,KFC,Restaurants
Jordan,Americana Foods,KFC,Restaurants
Iraq,Americana Foods,KFC,Restaurants
Egypt,Americana Foods,KFC,Restaurants
Morocco,Americana Foods,KFC,Restaurants
Oman,Americana Foods,KFC,Restaurants
Saudi Arabia,Americana Foods,Pizza Hut,Restaurants
United Arab Emirates,Americana Foods,Pizza Hut,Restaurants
Qatar,Americana Foods,Pizza Hut,Restaurants
Bahrain,Americana Foods,Pizza Hut,Restaurants
Kuwait,Americana Foods,Pizza Hut,Restaurants
Lebanon,Americana Foods,Pizza Hut,Restaurants
Jordan,Americana Foods,Pizza Hut,Restaurants
Iraq,Americana Foods,Pizza Hut,Restaurants
Egypt,Americana Foods,Pizza Hut,Restaurants
Morocco,Americana Foods,Pizza Hut,Restaurants
Oman,Americana Foods,Pizza Hut,Restaurants
Saudi Arabia,Americana Foods,Hardees,Restaurants
United Arab Emirates,Americana Foods,Hardees,Restaurants
Qatar,Americana Foods,Hardees,Restaurants
Bahrain,Americana Foods,Hardees,Restaurants
Kuwait,Americana Foods,Hardees,Restaurants
Lebanon,Americana Foods,Hardees,Restaurants
Jordan,Americana Foods,Hardees,Restaurants
Iraq,Americana Foods,Hardees,Restaurants
Egypt,Americana Foods,Hardees,Restaurants
Morocco,Americana Foods,Hardees,Restaurants
Oman,Americana Foods,Hardees,Restaurants
Saudi Arabia,Americana Foods,Crispy Cream,Restaurants
United Arab Emirates,Americana Foods,Crispy Cream,Restaurants
Qatar,Americana Foods,Crispy Cream,Restaurants
Bahrain,Americana Foods,Crispy Cream,Restaurants
Kuwait,Americana Foods,Crispy Cream,Restaurants
Lebanon,Americana Foods,Crispy Cream,Restaurants
Jordan,Americana Foods,Crispy Cream,Restaurants
Iraq,Americana Foods,Crispy Cream,Restaurants
Egypt,Americana Foods,Crispy Cream,Restaurants
Morocco,Americana Foods,Crispy Cream,Restaurants
Oman,Americana Foods,Crispy Cream,Restaurants
Saudi Arabia,Americana Foods,Peets Coffee,Restaurants
United Arab Emirates,Americana Foods,Peets Coffee,Restaurants
Qatar,Americana Foods,Peets Coffee,Restaurants
Bahrain,Americana Foods,Peets Coffee,Restaurants
Kuwait,Americana Foods,Peets Coffee,Restaurants
Lebanon,Americana Foods,Peets Coffee,Restaurants
Jordan,Americana Foods,Peets Coffee,Restaurants
Iraq,Americana Foods,Peets Coffee,Restaurants
Egypt,Americana Foods,Peets Coffee,Restaurants
Morocco,Americana Foods,Peets Coffee,Restaurants
Oman,Americana Foods,Peets Coffee,Restaurants
Saudi Arabia,Americana Foods,Americana Foods,Food
United Arab Emirates,Americana Foods,Americana Foods,Food
Qatar,Americana Foods,Americana Foods,Food
Bahrain,Americana Foods,Americana Foods,Food
Kuwait,Americana Foods,Americana Foods,Food
Lebanon,Americana Foods,Americana Foods,Food
Jordan,Americana Foods,Americana Foods,Food
Iraq,Americana Foods,Americana Foods,Food
Egypt,Americana Foods,Americana Foods,Food
Morocco,Americana Foods,Americana Foods,Food
Oman,Americana Foods,Americana Foods,Food
Saudi Arabia,Americana Foods,California Garden,Food
United Arab Emirates,Americana Foods,California Garden,Food
Qatar,Americana Foods,California Garden,Food
Bahrain,Americana Foods,California Garden,Food
Kuwait,Americana Foods,California Garden,Food
Lebanon,Americana Foods,California Garden,Food
Jordan,Americana Foods,California Garden,Food
Iraq,Americana Foods,California Garden,Food
Egypt,Americana Foods,California Garden,Food
Morocco,Americana Foods,California Garden,Food
Oman,Americana Foods,California Garden,Food
Jordan,Arab Bank,Arab Bank,Finance
Lebanon,Arab Bank,Arab Bank,Finance
Egypt,Arab Bank,Arab Bank,Finance
United Arab Emirates,Arab Bank,Arab Bank,Finance
Qatar,Arab Bank,Arab Bank,Finance
Bahrain,Arab Bank,Arab Bank,Finance
Morocco,Arab Bank,Arab Bank,Finance
Iraq,Arab Bank,Arab Bank,Finance
Algeria,Arab Bank,Arab Bank,Finance
Saudi Arabia,Aramco,Lab 7 - Aramco,Government
Lebanon,Artscoops,Artscoops,Food
Kuwait,Australian University,Australian University,Education
United Arab Emirates,Auto Central,Auto Central,Automotive
Egypt,AXA,AXA,Finance
Egypt,AXA,Axa Health Insurance,Healthcare
Egypt,AXA,One-Health,Healthcare
Morocco,AXA,Insurance,Finance
United Arab Emirates,Barakat,Barakat,Food
Egypt,Bonjorno,Bonjorno,Drinks (non-alcoholic)
United Arab Emirates,Bose,Bose,Consumer Electronics
Saudi Arabia,Bose,Bose,Consumer Electronics
Kuwait,Bose,Bose,Consumer Electronics
Qatar,Bose,Bose,Consumer Electronics
Bahrain,Bose,Bose,Consumer Electronics
Oman,Bose,Bose,Consumer Electronics
Kuwait,Boursa Kuwait Securities Company,Boursa Kuwait Securities Company,Finance
Egypt,Carina,Carina,Fashion
United Arab Emirates,Creative Media Authority,Creative Media Authority,Government
Egypt,Dabur,Amla,Personal Care
Egypt,Dabur,Vatika,Personal Care
Egypt,Dabur,Miswa,Personal Care
Egypt,Dabur,Red Toothpaste,Personal Care
