market,clientname,brand,category
PALESTINE,Qatar Airways,Qatar Airways,Travel
KOREA SOUTH,Qatar Airways,Qatar Airways,Travel
BRUNEI,Qatar Airways,Qatar Airways,Travel
LAOS,Qatar Airways,Qatar Airways,Travel
USA,Royal Air Maroc,Royal Air Maroc,Travel
Ivory Coast (C te d Ivoire),Royal Air Maroc,Royal Air Maroc,Travel
Jordan,Sanofi,Sanofi,Healthcare & Pharmaceuticals
Lebanon,Sanofi,Sanofi,Healthcare & Pharmaceuticals
Iraq,Sanofi,Sanofi,Healthcare & Pharmaceuticals
Qatar,Sidra Medicine,Sidra Medicine,Healthcare & Pharmaceuticals
Lebanon,Transmed,Transmed,Healthcare & Pharmaceuticals
Palestine,Arab Bank,Arab Bank,Finance
Egypt,Didi,DiDi,Travel
Egypt,Edita,Edita,Snacks
USA,Emirates,Arabian Adventures,Travel
USA,Emirates,Marhaba,Travel
Russia,Flynas,Flynas,Travel
Syria,Flynas,Flynas,Travel
Saudi Arabia,Netflix,Netflix,Entertainment & media
United Arab Emirates,Ora,Ora,Utilities
USA,Public Investment Fund,Public Investment Fund,Government
COTE D IVOIRE,Qatar Airways,Qatar Airways,Travel
SWAZILAND,Qatar Airways,Qatar Airways,Travel
REUNION,Qatar Airways,Qatar Airways,Travel
GUINEA BISSAU,Qatar Airways,Qatar Airways,Travel
CAPE VERDE ISL.,Qatar Airways,Qatar Airways,Travel
USA,Qatar Airways,Qatar Airways,Travel
REPUBLIC OF CHILE,Qatar Airways,Qatar Airways,Travel
SLOVAK REPUBLIC,Qatar Airways,Qatar Airways,Travel
BOSNIA HERZEGOVINA,Qatar Airways,Qatar Airways,Travel
