market,clientname,brand,category
BAHRAIN,Qatar Airways,Qatar Airways,Travel
UZBEKISTAN,Qatar Airways,Qatar Airways,Travel
KYRGYZSTAN,Qatar Airways,Qatar Airways,Travel
YEMEN,Qatar Airways,Qatar Airways,Travel
CHINA,Qatar Airways,Qatar Airways,Travel
JAPAN,Qatar Airways,Qatar Airways,Travel
HONG KONG,Qatar Airways,Qatar Airways,Travel
MONGOLIA,Qatar Airways,Qatar Airways,Travel
TAIWAN,Qatar Airways,Qatar Airways,Travel
QATAR,Qatar Airways,Qatar Airways,Travel
INDIA,Qatar Airways,Qatar Airways,Travel
BANGLADESH,Qatar Airways,Qatar Airways,Travel
NEPAL,Qatar Airways,Qatar Airways,Travel
SRI LANKA,Qatar Airways,Qatar Airways,Travel
MALDIVES,Qatar Airways,Qatar Airways,Travel
PHILIPPINES,Qatar Airways,Qatar Airways,Travel
INDONESIA,Qatar Airways,Qatar Airways,Travel
MALAYSIA,Qatar Airways,Qatar Airways,Travel
THAILAND,Qatar Airways,Qatar Airways,Travel
SINGAPORE,Qatar Airways,Qatar Airways,Travel
VIETNAM,Qatar Airways,Qatar Airways,Travel
MYANMAR,Qatar Airways,Qatar Airways,Travel
CAMBODIA,Qatar Airways,Qatar Airways,Travel
AUSTRALIA,Qatar Airways,Qatar Airways,Travel
NEW ZEALAND,Qatar Airways,Qatar Airways,Travel
PAPUA NEW GUINEA,Qatar Airways,Qatar Airways,Travel
FIJI,Qatar Airways,Qatar Airways,Travel
MARSHALL ISLANDS,Qatar Airways,Qatar Airways,Travel
SAMOA,Qatar Airways,Qatar Airways,Travel
NEW CALEDONIA,Qatar Airways,Qatar Airways,Travel
GUAM,Qatar Airways,Qatar Airways,Travel
United Kingdom of Great Britain and Northern Ireland,Royal Air Maroc,Royal Air Maroc,Travel
United Kingdom of Great Britain and Northern Ireland,Emirates,Arabian Adventures,Travel
United Kingdom of Great Britain and Northern Ireland,Emirates,Marhaba,Travel
BAHAMAS,Qatar Airways,Qatar Airways,Travel
