clientname,market
Vodafone,Romania
Vodafone,United Arab Emirates
VodafoneZiggo,Netherlands
VOG CONS.COOP,Italy
Volkswagen AG,China
Volkswagen AG,Colombia
Volkswagen AG,Hungary
Volkswagen AG,Portugal
Volkswagen AG,Romania
Volvo Cars,Canada
Volvo Cars,Finland
Volvo Cars,Germany
Volvo Cars,New Zealand
Wakefit Innovations,India
Walbusch,Switzerland
Walgreens Boots Alliance,United States of America
Wallapop,Spain
Wallis Group,Hungary
Walmart,India
Wamos Portugal,Portugal
WAOO,Denmark
Warburtons,United Kingdom of Great Britain and Northern Ireland
Warner Bros.,Australia
Warner Bros. Discovery,India
Warner Bros. Discovery,Indonesia
Warner Bros. Discovery,Italy
Warner Bros. Discovery,Mexico
Warner Bros. Discovery,Poland
Warner Bros. Discovery,Taiwan
"Warnermedia, LLC",India
Watsons,Philippines
Webjet,Australia
Weight Watchers,Sweden
Weleda,Netherlands
Wella Company,Denmark
Wella Company,Finland
Wella Company,Norway
Wella Company,Sweden
Welspun,India
Western Power,Australia
Westfield,Australia
Westland,United Kingdom of Great Britain and Northern Ireland
Westpac,Australia
Whirlpool,France
Whirlpool,Germany
Whirlpool,Italy
Whirlpool,Poland
Whitelion,Australia
Whizdm Innovations,India
Wiener St dtische Versicherung,Austria
Wilkinson Sword,Czech Republic
Wilkinson Sword,Hungary
Wilkinson Sword,Poland
Wilkinson Sword,Romania
William Hill,Ireland
William Hill,United Kingdom of Great Britain and Northern Ireland
Wilmar,Indonesia
Wingo,Colombia
Wings,China
Wio Bank,India
Wipro,India
Wise,Canada
Wizink Bank S.A.,Portugal
Wolt,Finland
Wolt,Hungary
Wolt,Norway
Wolt,Sweden
Wonder Cement,India
Woolworths,Kenya
World Gold Council,India
Wunderman Thompson,Serbia
WunjoFood,Taiwan
Wyeth,Philippines
Wynn Resorts,Hong Kong
XAIA,Denmark
XAIA,France
XAIA,Norway
XAIA,Spain
XAIA,Sweden
XAIA,United Kingdom of Great Britain and Northern Ireland
Xerox,Canada
Xerox,United States of America
Xiao Hong Shu,China
Xiaomi,China
Xiaomi,Colombia
Xiaomi,France
Xiaomi,India
Xiaomi,Italy
Xiaomi,Mexico
Xiaomi,Poland
Xiaomi,Portugal
Xiaomi,Romania
Xiaomi,Serbia
Xiaomi,South Korea
Xiaomi,Taiwan
XL Axiata,Indonesia
XOVE,Hong Kong
XPENG,Belgium
XPENG,Denmark
XPENG,France
XPENG,Germany
XPENG,Netherlands
XPENG,Norway
XPENG,Sweden
Yakult,Belgium
Yakult,Denmark
Yakult,Germany
Yakult,Italy
Yakult,Netherlands
Yakult,Philippines
Yakult,Switzerland
Yamaha,India
Yamaha,Indonesia
Yaqeen Holding,India
YFY Consumer Product,Taiwan
Yong Feng Yu,Taiwan
York University,Canada
Yorkshire Building Society,United Kingdom of Great Britain and Northern Ireland
Yourtown,Australia
YUM,Australia
Yum Restaurants,India
Yuzzu,Belgium
Zalando,Hungary
Zalando,Netherlands
Zalando,Romania
Zalando,Switzerland
Zamil AC,India
Zazz Technology Connect,India
Zee Entertainment Enterprises,India
Zeekr,Netherlands
Zespri,Australia
Zespri,Belgium
Zespri,France
Zespri,Italy
Zespri,Netherlands
Zespri,Singapore
Zespri,South Korea
Zespri,Taiwan
Zespri,United Kingdom of Great Britain and Northern Ireland
ZMB Capital,Poland
Zoho Corporation,India
ZonaProp,Argentina
Zound Industries International,India
Zwack Unicum,Hungary
Zwift,Germany
Zwift,Japan
Zwift,United States of America
?????? ???????????,Greece
