Client,Market,Brand,Category
New Originals,Slovakia,Lunter,Food
Vaclav Cizek,Slovakia,Pilot Frixion,Household Items
Hubert J.E.,Slovakia,Hubert ,Drinks (alcoholic)
Hubert J.E.,Slovakia,KBS,Drinks (alcoholic)
Hubert J.E.,Slovakia,Mionetto,Drinks (alcoholic)
Hubert J.E.,Slovakia,Vitis,Drinks (alcoholic)
Douglas,Slovakia,Douglas parfumery,Retail
Continental,Slovakia,Continental ,Automotive
Continental,Slovakia,Matador,Automotive
Elanco,Slovakia,Elanco/ Foresto & Advantix,Pet Care
Madeta,Slovakia,Lipanek,Food
Madeta,Slovakia,Syr na panev,Food
PPG Industries,Slovakia,Primalex,Household Items
PPG Industries,Slovakia,Balakryl,Household Items
PPG Industries,Slovakia,Dum barev,Household Items
UNIQA Insurance Group AG,Slovakia,Uniqa,Finance
Dr Oetker,Slovakia,Bistro,Food
Dr Oetker,Slovakia,Drozdie,Food
Dr Oetker,Slovakia,Kase,Food
Dr Oetker,Slovakia,Pizza,Food
Dr Oetker,Slovakia,Vanilka,Food
Dr Oetker,Slovakia,Kakao,Food
Slovak Telekom,Slovakia,Pausal,Telecoms
Slovak Telekom,Slovakia,Magio TV,Telecoms
Slovak Telekom,Slovakia,Magio Internet,Telecoms
Slovak Telekom,Slovakia,Magenta Moments,Telecoms
Slovak Telekom,Slovakia,B2B,Telecoms
Slovak Telekom,Slovakia,Magenta 1,Telecoms
Slovak Telekom,Slovakia,Image,Telecoms
Slovak Telekom,Slovakia,CSR,Telecoms
Slovak Telekom,Slovakia,Easy,Telecoms
Slovak Telekom,Slovakia,ESG,Telecoms
Slovak Telekom,Slovakia,Disney+,Telecoms
Slovak Telekom,Slovakia,Click Security,Telecoms
Slovak Telekom,Slovakia,Netflix,Telecoms
Slovak Telekom,Slovakia,HW Samsung,Telecoms
Slovak Telekom,Slovakia,HW Xiaomi,Telecoms
Slovak Telekom,Slovakia,HW Motorola,Telecoms
Slovak Telekom,Slovakia,5G,Telecoms
Slovak Telekom,Slovakia,DIGI,Telecoms
Slovak Telekom,Slovakia,CX,Telecoms
Slovak Telekom,Slovakia,Wi-fi,Telecoms
Slovak Telekom,Slovakia,Mobile Network,Telecoms
Slovak Telekom,Slovakia,SWIPE,Telecoms
Slovak Telekom,Slovakia,Roaming,Telecoms
Slovak Telekom,Slovakia,T-phone,Telecoms
Slovak Telekom,Slovakia,Telekom Night Run,Telecoms
Teekanne,Slovakia,Image,Food
AMC,Slovakia,AMC,Entertainment & media
