market,client,brand,category,uuid
austria,ACTUAL Fenster Tueren Sonnenschutz,ACTUAL Fenster Tueren Sonnenschutz,Home Appliances,bacb4e6c-ddf6-4fec-ad89-58e7c4fe3f88
austria,ADLER-Werk Lackfabrik,Adler,Household Items,d92ccd2f-ee2a-42b0-b6c3-d4345b78f47a
austria,Action Service & Distribution BV,Action,Retail,09c1edf5-8a34-43f6-9ade-08ab4b7b6cab
austria,Air Up,air up,Drinks (non-alcoholic),335ccd36-a59c-4a3c-91df-9d4bbba86f76
austria,AkzoNobel,AkzoNobel Coating,Home Appliances,5d619f05-8f67-434b-a2dd-0ebd151c7031
austria,Amt der NOE Landesregierung,Amt der NOE LR,GOVERNMENT,9ee1a503-90cf-4ab7-9111-dd9c6eef2630
austria,Asset Management by froots,Asset Management,Finance,a944ded9-afa9-4018-9689-4446a0831e37
austria,Be The Change Flexible Company,Be The Change Flexible Company,Entertainment & media,b20f6ba1-74d7-4b2a-a0ac-9a762ad1b97e
austria,Bionorica,Bionorica Austria,Healthcare,f383b245-2667-49b8-b2e6-49e44d12284e
austria,Breuninger,Breuninger,Fashion,0a603060-ebb9-44a2-b36f-d195b3b8c5c5
austria,CC Real,CC Real,Real Estate,2f68238f-0111-4141-a31a-9f2d88b820d2
austria,CP GABA,Colgate,Oral Care,ec964530-613e-46f9-b90e-16c0a82e1df5
austria,CP GABA,Elmex,Oral Care,799c2757-32e7-4cdd-b345-73dae97a638e
austria,CP GABA,Meridol,Oral Care,469902f6-194b-4091-a2f3-57d11fa1a8c5
austria,Campari,Sarti,Drinks (alcoholic),e14b09e1-3587-475e-bc76-5a25bdef1d11
austria,Carglass,Carglass,Automotive,711dba9f-4a4b-434e-a6e0-6a0b1ab472de
austria,Continental,Continental,Automotive,85ae74b9-ced7-458a-89e8-90a421dea742
austria,Continental,Continental Aftermarket & Services,Automotive,ca8b4014-c854-41b4-9681-a4fdda45487f
austria,Continental,Continental Reifen Deutschland,Automotive,d14b133a-23e9-4861-a0d9-8a5eee676319
austria,Die Presse VerlagsgesmbH. & CO KG,Die Presse VerlagsgesmbH. & CO KG,Entertainment & media,f0232eec-b816-4ee3-85c8-ac21b93b3cdf
austria,Die Tafel Oesterreich - der Verein fuer sozialen Transfer,Die Tafel,CHARITIES,1202dae3-6b1e-4148-b254-33d0d1e6b9dc
austria,Direct Parcel Distribution,Direct Parcel Distribution,General Services,92612c46-39c5-4476-aa59-7235e4413cb5
austria,Dr. C. Soldan Vertriebs,em-eukal,Food,2a101f16-2884-43ae-844f-f8daf80873ab
austria,EA Swiss Sarl,EA Swiss Sarl,Home Entertainment,b25b7315-657f-4b65-bdbe-36bb40392174
austria,Epamedia - Europaeische Plakat- und Aussenmedien,Epamedia - Europaeische Plakat- und Aussenmedien GmbH,Entertainment & media,e121a16c-e87c-4f57-9bc6-18f06a0d044f
austria,Erste Group,Erste Bank,Finance,8e33967e-52ee-4436-9f77-09fb8dcec456
austria,Euronics,Euronics,Home Appliances,f188acb1-a6fe-491b-b1a4-dc9ba2493bb8
austria,Explora Journeys,Explora Journeys,Travel,ebce65bd-0e14-48c6-b706-4d3340385683
austria,FAIRTRADE Oesterreich,Fairtrade,Food,c4e67375-6fa8-44e0-bcfa-370018f2a9cd
austria,Felix Austria GesmbH,Felix Austria,Food,1aa1bae2-f35b-4d3c-aa03-78dfed5f7422
austria,Filmladen,Filmladen,Entertainment & media,e888d849-191c-48ad-9e7d-c6e08abe5618
austria,Finanzgruppe,Teambank,Finance,b4bc7af0-5fb0-4eaa-874c-e657fb884b16
austria,Finanzgruppe,Union Investment,Finance,e37d5dcd-4de1-4d22-b78f-c7531d0318f7
austria,Freytag-Berndt und Artaria KG,Freytag-Berndt und Artaria KG,Travel,e47c7874-68ab-492b-9485-7845849fe3e6
austria,Geberit,Geberit,Home Appliances,0d9e836a-f6a2-4f3c-8666-156457a5ad54
austria,Gebro Pharma,Alpinamed,Healthcare,b09dd56f-94ac-4a6f-a78b-3c6af082b6ea
austria,Grazer Wechselseitige Versicherung AG,Grazer Wechselseitige,Finance,d57ee1b8-94eb-40ba-80a0-a59f928ecb85
austria,Gruene Wirtschaft,Gruene Wirtschaft,General Services,4b0c72d2-d7b8-4be0-be84-068c6f7258f1
austria,HAAI,HAAI,Consumer Electronics,c2091cf7-b04e-44bf-8205-977c14d5b528
austria,Handl Tyrol,Handl Tyrol,Food,469a7836-76a6-45c1-ba69-c0952b01223f
austria,Heimbau,Heimbau,Real Estate,84b47a73-c08d-4b4f-bc77-9bfcef9eabb1
austria,Honor Technologies,Honor,Telecoms,f55c157d-d16d-4f1d-aabd-e5eb819c2fe6
austria,Joh. Alex Niernsee AG,Joh. Alex Niernsee AG,Home Appliances,ef30e2b3-2429-439d-b534-b7cb49778349
austria,KRONE-Verlag GmbH & Co,Krone,Entertainment & media,d5e696ee-1524-4ffd-86b7-cf6a8193025e
austria,KSV1870 Holding AG,KSV1870 Holding AG,General Services,d7832e8b-746c-4d8c-ac98-9cc7be66ade2
austria,Kapsch TrafficCom AG,Kapsch TrafficCom AG,Automotive,b6b7a1b5-1d5b-49c1-b2f9-f2bea8e24ef4
austria,Katjes Fassin,Katjes Fassin,Food,279be043-f300-4349-924d-db64ab5594c6
austria,Kwizda Pharma,Kwizda Pharma,Healthcare,7d19ccc3-25d5-4bd0-b371-171b8c39e556
austria,Lagerhaus Franchise,Lagerhaus,Retail,2cf23571-1bb3-4b77-916e-e92af42794cc
austria,Lavazza,Lavazza,Drinks (non-alcoholic),b8cefd0c-6051-48ca-a890-ea36155bd35b
austria,Lexus,Lexus,Automotive,ccafc701-0025-444e-ba5e-d49b75246abd
austria,Lufthansa,Austrian Airlines,Travel,4550210c-d400-44ce-80c1-20cb58b20e57
austria,M&D Restaurant Development,M&D Restaurant Development,Automotive,f2790871-20ca-46df-942c-db8a600c49a2
austria,Markilux,Markilux,Household Items,3ac2ea5b-bcc8-4cea-bffa-24697ffc0009
austria,Mautner Markhof,Mautner Markhof,Food,3d6e57ef-9532-4690-9254-22347a56347c
austria,McArthurglen,McArthurGlen,Retail,665f8069-3e7a-400b-bf1c-dd5c84cf1efe
austria,Milford Tee Austria Gesellschaft m.b.H.,Milford,Drinks (non-alcoholic),dc50a16f-758e-4bf8-b48d-059abf7f4801
